Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7656858,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"It Ain't Me (with Selena Gomez)",Kygo,4369365,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,"Galway Girl","Ed Sheeran",4108508,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
4,"Something Just Like This","The Chainsmokers",4071521,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
5,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3370088,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3367526,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
7,Paris,"The Chainsmokers",3192813,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
8,"Castle on the Hill","Ed Sheeran",3187355,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
9,"That's What I Like","Bruno Mars",3137310,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
10,"Stay (with Alessia Cara)",Zedd,3094523,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,"Scared to Be Lonely","Martin Garrix",2890552,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
12,Issues,"Julia Michaels",2743507,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
13,"Chained To The Rhythm","Katy Perry",2641012,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
14,"Mask Off",Future,2502682,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
15,Slide,"Calvin Harris",2491295,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
16,Perfect,"Ed Sheeran",2439841,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
17,"I Feel It Coming","The Weeknd",2322460,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
18,Cold,"Maroon 5",2310575,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
19,Happier,"Ed Sheeran",2297098,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
20,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2252330,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
21,Believer,"Imagine Dragons",2232694,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
22,"Green Light",Lorde,2127347,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
